occurrence_date_time_beijing,occurrence_date_time,fuel_tank_level,engine_total_hours_of_operation,high_resolution_total_vehicle_distance,engine_total_fuel_used,latitude,longitude,province,city,s_time,e_time,plan_mile,natural_index
2024-04-02T01:35:30Z,2024-04-01T17:35:30Z,84.4,1917.95,126504210,34052,28.552,121.238,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:36:01Z,2024-04-01T17:36:01Z,84.4,1918,126504240,34052,28.552,121.238,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:36:32Z,2024-04-01T17:36:32Z,81.6,1918,126504240,34052,28.5517,121.2373,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:37:03Z,2024-04-01T17:37:03Z,81.6,1918,126504240,34052,28.5517,121.2364,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:37:34Z,2024-04-01T17:37:34Z,81.6,1918,126504420,34052,28.5521,121.2364,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:38:05Z,2024-04-01T17:38:05Z,81.6,1918,126504420,34052,28.5528,121.236,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:38:36Z,2024-04-01T17:38:36Z,81.6,1918,126504570,34052.5,28.554,121.2355,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:39:07Z,2024-04-01T17:39:07Z,81.6,1918,126504570,34052.5,28.5544,121.2362,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:39:19Z,2024-04-01T17:39:19Z,81.6,1918.05,126504865,34052.5,28.5544,121.2362,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:39:50Z,2024-04-01T17:39:50Z,81.6,1918.05,126504865,34052.5,28.5555,121.242,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:40:21Z,2024-04-01T17:40:21Z,81.6,1918.05,126505530,34053,28.5561,121.2451,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:41:00Z,2024-04-01T17:41:00Z,82,1918.05,126505530,34053,28.5555,121.2456,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:41:31Z,2024-04-01T17:41:31Z,82,1918.05,126505825,34053,28.5547,121.2446,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:42:06Z,2024-04-01T17:42:06Z,82,1918.05,126505825,34053,28.5547,121.2444,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:42:38Z,2024-04-01T17:42:38Z,79.2,1918.1,126505890,34053,28.5547,121.2444,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:43:15Z,2024-04-01T17:43:15Z,81.6,1918.1,126505890,34053,28.5543,121.2434,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:43:46Z,2024-04-01T17:43:46Z,81.6,1918.1,126506195,34053,28.5555,121.2418,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
2024-04-02T01:44:17Z,2024-04-01T17:44:17Z,81.6,1918.1,126506195,34053,28.559,121.2409,浙江省,台州市,2024-04-02T01:35:00.000Z,2024-04-03T02:52:00.000Z,1730,25
